# Elements 1e+06
[00000.171 ms] [1.644725] multiplySeq
[00000.319 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 256]
[00000.315 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 512]
[00000.307 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 1024]
[00000.313 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 2048]
[00000.324 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 4096]
[00000.313 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 8192]
[00000.318 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 16384]
[00000.308 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 32768]
[00000.323 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 65536]
[00000.321 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 64]
[00000.303 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 128]
[00000.306 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 256]
[00000.302 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 512]
[00000.311 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 1024]
[00000.311 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 2048]
[00000.302 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 4096]
[00000.305 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 8192]
[00000.310 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 16384]
[00000.301 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 32768]
[00000.305 ms] [1.644725] multiplyOpenmp [2 threads; schedule static 65536]
[00000.320 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 64]
[00000.314 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 128]
[00000.309 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 256]
[00000.316 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 512]
[00000.316 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 1024]
[00000.316 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 2048]
[00000.312 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 4096]
[00000.315 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 8192]
[00000.307 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 16384]
[00000.311 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 32768]
[00000.311 ms] [1.644725] multiplyOpenmp [2 threads; schedule dynamic 65536]
[00000.326 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 64]
[00000.317 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 128]
[00000.316 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 256]
[00000.309 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 512]
[00000.308 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 1024]
[00000.313 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 2048]
[00000.306 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 4096]
[00000.314 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 8192]
[00000.324 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 16384]
[00000.314 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 32768]
[00000.317 ms] [1.644725] multiplyOpenmp [2 threads; schedule guided 65536]
[00000.325 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 64]
[00000.317 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 128]
[00000.321 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 256]
[00000.316 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 512]
[00000.314 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 1024]
[00000.310 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 2048]
[00000.310 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 4096]
[00000.305 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 8192]
[00000.307 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 16384]
[00000.305 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 32768]
[00000.307 ms] [1.644725] multiplyOpenmp [2 threads; schedule auto 65536]
[00000.376 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 64]
[00000.310 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 128]
[00000.309 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 256]
[00000.201 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 512]
[00000.201 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 1024]
[00000.200 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 2048]
[00000.201 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 4096]
[00000.168 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 8192]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 16384]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 32768]
[00000.160 ms] [1.644725] multiplyOpenmp [4 threads; schedule static 65536]
[00000.164 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 64]
[00000.166 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 128]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 256]
[00000.164 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 512]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 1024]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 2048]
[00000.166 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 4096]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 8192]
