# Elements 1e+06
[00001.676 ms] [1.644725] multiplyCuda<<<8192, 32>>>
[00001.546 ms] [1.644725] multiplyCuda<<<8192, 64>>>
[00001.489 ms] [1.644725] multiplyCuda<<<8192, 128>>>
[00001.479 ms] [1.644725] multiplyCuda<<<8192, 256>>>
[00001.478 ms] [1.644725] multiplyCuda<<<8192, 512>>>
[00001.465 ms] [1.644725] multiplyCuda<<<8192, 1024>>>
[00001.578 ms] [1.644725] multiplyCuda<<<16384, 32>>>
[00001.496 ms] [1.644725] multiplyCuda<<<16384, 64>>>
[00001.476 ms] [1.644725] multiplyCuda<<<16384, 128>>>
[00001.481 ms] [1.644725] multiplyCuda<<<16384, 256>>>
[00001.471 ms] [1.644725] multiplyCuda<<<16384, 512>>>
[00001.464 ms] [1.644725] multiplyCuda<<<16384, 1024>>>
[00001.541 ms] [1.644725] multiplyCuda<<<32768, 32>>>
[00001.478 ms] [1.644725] multiplyCuda<<<32768, 64>>>
[00001.480 ms] [1.644725] multiplyCuda<<<32768, 128>>>
[00001.468 ms] [1.644725] multiplyCuda<<<32768, 256>>>
[00001.463 ms] [1.644725] multiplyCuda<<<32768, 512>>>
[00001.475 ms] [1.644725] multiplyCuda<<<32768, 1024>>>

# Elements 1e+09
[00305.056 ms] [1.644725] multiplySeq
[00022.726 ms] [1.644725] multiplyCuda<<<1024, 32>>>
[00017.857 ms] [1.644725] multiplyCuda<<<1024, 64>>>
[00016.579 ms] [1.644725] multiplyCuda<<<1024, 128>>>
[00015.976 ms] [1.644725] multiplyCuda<<<1024, 256>>>
[00016.330 ms] [1.644725] multiplyCuda<<<1024, 512>>>
[00015.172 ms] [1.644725] multiplyCuda<<<1024, 1024>>>
[00017.782 ms] [1.644725] multiplyCuda<<<2048, 32>>>
[00016.713 ms] [1.644725] multiplyCuda<<<2048, 64>>>
[00016.050 ms] [1.644725] multiplyCuda<<<2048, 128>>>
[00016.238 ms] [1.644725] multiplyCuda<<<2048, 256>>>
[00015.115 ms] [1.644725] multiplyCuda<<<2048, 512>>>
[00014.891 ms] [1.644725] multiplyCuda<<<2048, 1024>>>
[00017.615 ms] [1.644725] multiplyCuda<<<4096, 32>>>
[00016.484 ms] [1.644725] multiplyCuda<<<4096, 64>>>
[00016.258 ms] [1.644725] multiplyCuda<<<4096, 128>>>
[00015.119 ms] [1.644725] multiplyCuda<<<4096, 256>>>
[00014.863 ms] [1.644725] multiplyCuda<<<4096, 512>>>
[00014.821 ms] [1.644725] multiplyCuda<<<4096, 1024>>>
[00017.520 ms] [1.644725] multiplyCuda<<<8192, 32>>>
[00016.344 ms] [1.644725] multiplyCuda<<<8192, 64>>>
[00015.138 ms] [1.644725] multiplyCuda<<<8192, 128>>>
[00014.851 ms] [1.644725] multiplyCuda<<<8192, 256>>>
[00014.785 ms] [1.644725] multiplyCuda<<<8192, 512>>>
[00014.693 ms] [1.644725] multiplyCuda<<<8192, 1024>>>
[00016.353 ms] [1.644725] multiplyCuda<<<16384, 32>>>
[00015.209 ms] [1.644725] multiplyCuda<<<16384, 64>>>
[00014.931 ms] [1.644725] multiplyCuda<<<16384, 128>>>
[00014.829 ms] [1.644725] multiplyCuda<<<16384, 256>>>
[00014.689 ms] [1.644725] multiplyCuda<<<16384, 512>>>
[00014.541 ms] [1.644725] multiplyCuda<<<16384, 1024>>>
[00015.932 ms] [1.644725] multiplyCuda<<<32768, 32>>>
[00014.994 ms] [1.644725] multiplyCuda<<<32768, 64>>>
[00014.868 ms] [1.644725] multiplyCuda<<<32768, 128>>>
[00014.705 ms] [1.644725] multiplyCuda<<<32768, 256>>>
[00014.546 ms] [1.644725] multiplyCuda<<<32768, 512>>>
[00014.893 ms] [1.644725] multiplyCuda<<<32768, 1024>>>
