elements,time,sum,technique,grid_limit,block_size
"1000000","0.319","1.644933","multiplySeq","0","0"
"1000000","0.065","1.644933","multiplyCuda","1024","32"
"1000000","0.051","1.644933","multiplyCuda","1024","64"
"1000000","0.05","1.644933","multiplyCuda","1024","128"
"1000000","0.05","1.644933","multiplyCuda","1024","256"
"1000000","0.05","1.644933","multiplyCuda","1024","512"
"1000000","0.05","1.644933","multiplyCuda","1024","1024"
"1000000","0.051","1.644933","multiplyCuda","2048","32"
"1000000","0.05","1.644933","multiplyCuda","2048","64"
"1000000","0.05","1.644933","multiplyCuda","2048","128"
"1000000","0.05","1.644933","multiplyCuda","2048","256"
"1000000","0.049","1.644933","multiplyCuda","2048","512"
"1000000","0.05","1.644933","multiplyCuda","2048","1024"
"1000000","0.051","1.644933","multiplyCuda","4096","32"
"1000000","0.051","1.644933","multiplyCuda","4096","64"
"1000000","0.049","1.644933","multiplyCuda","4096","128"
"1000000","0.049","1.644933","multiplyCuda","4096","256"
"1000000","0.049","1.644933","multiplyCuda","4096","512"
"1000000","0.05","1.644933","multiplyCuda","4096","1024"
"1000000","0.051","1.644933","multiplyCuda","8192","32"
"1000000","0.049","1.644933","multiplyCuda","8192","64"
"1000000","0.049","1.644933","multiplyCuda","8192","128"
"1000000","0.049","1.644933","multiplyCuda","8192","256"
"1000000","0.051","1.644933","multiplyCuda","8192","512"
"1000000","0.05","1.644933","multiplyCuda","8192","1024"
"1000000","0.052","1.644933","multiplyCuda","16384","32"
"1000000","0.05","1.644933","multiplyCuda","16384","64"
"1000000","0.049","1.644933","multiplyCuda","16384","128"
"1000000","0.049","1.644933","multiplyCuda","16384","256"
"1000000","0.049","1.644933","multiplyCuda","16384","512"
"1000000","0.05","1.644933","multiplyCuda","16384","1024"
"1000000","0.074","1.644933","multiplyCuda","32768","32"
"1000000","0.05","1.644933","multiplyCuda","32768","64"
"1000000","0.049","1.644933","multiplyCuda","32768","128"
"1000000","0.049","1.644933","multiplyCuda","32768","256"
"1000000","0.05","1.644933","multiplyCuda","32768","512"
"1000000","0.049","1.644933","multiplyCuda","32768","1024"
"10000000","4.039","1.644934","multiplySeq","0","0"
"10000000","0.323","1.644934","multiplyCuda","1024","32"
"10000000","0.304","1.644934","multiplyCuda","1024","64"
"10000000","0.308","1.644934","multiplyCuda","1024","128"
"10000000","0.309","1.644934","multiplyCuda","1024","256"
"10000000","0.312","1.644934","multiplyCuda","1024","512"
"10000000","0.309","1.644934","multiplyCuda","1024","1024"
"10000000","0.301","1.644934","multiplyCuda","2048","32"
"10000000","0.302","1.644934","multiplyCuda","2048","64"
"10000000","0.303","1.644934","multiplyCuda","2048","128"
"10000000","0.307","1.644934","multiplyCuda","2048","256"
"10000000","0.304","1.644934","multiplyCuda","2048","512"
"10000000","0.305","1.644934","multiplyCuda","2048","1024"
"10000000","0.307","1.644934","multiplyCuda","4096","32"
"10000000","0.305","1.644934","multiplyCuda","4096","64"
"10000000","0.306","1.644934","multiplyCuda","4096","128"
"10000000","0.305","1.644934","multiplyCuda","4096","256"
"10000000","0.301","1.644934","multiplyCuda","4096","512"
"10000000","0.299","1.644934","multiplyCuda","4096","1024"
"10000000","0.309","1.644934","multiplyCuda","8192","32"
"10000000","0.306","1.644934","multiplyCuda","8192","64"
"10000000","0.305","1.644934","multiplyCuda","8192","128"
"10000000","0.3","1.644934","multiplyCuda","8192","256"
"10000000","0.301","1.644934","multiplyCuda","8192","512"
"10000000","0.301","1.644934","multiplyCuda","8192","1024"
"10000000","0.307","1.644934","multiplyCuda","16384","32"
"10000000","0.304","1.644934","multiplyCuda","16384","64"
"10000000","0.301","1.644934","multiplyCuda","16384","128"
"10000000","0.301","1.644934","multiplyCuda","16384","256"
"10000000","0.301","1.644934","multiplyCuda","16384","512"
"10000000","0.303","1.644934","multiplyCuda","16384","1024"
"10000000","0.309","1.644934","multiplyCuda","32768","32"
"10000000","0.301","1.644934","multiplyCuda","32768","64"
"10000000","0.301","1.644934","multiplyCuda","32768","128"
"10000000","0.3","1.644934","multiplyCuda","32768","256"
"10000000","0.301","1.644934","multiplyCuda","32768","512"
"10000000","0.303","1.644934","multiplyCuda","32768","1024"
"100000000","58.029","1.644934","multiplySeq","0","0"
"100000000","3.085","1.644934","multiplyCuda","1024","32"
"100000000","2.931","1.644934","multiplyCuda","1024","64"
"100000000","2.912","1.644934","multiplyCuda","1024","128"
"100000000","2.915","1.644934","multiplyCuda","1024","256"
"100000000","2.968","1.644934","multiplyCuda","1024","512"
