elements,time,sum,technique,grid_limit,block_size
"1000000","0.17","1.644725","multiplySeq","0","0"
"1000000","0.048","1.644725","multiplyCuda","1024","32"
"1000000","0.041","1.644725","multiplyCuda","1024","64"
"1000000","0.038","1.644725","multiplyCuda","1024","128"
"1000000","0.038","1.644725","multiplyCuda","1024","256"
"1000000","0.038","1.644725","multiplyCuda","1024","512"
"1000000","0.038","1.644725","multiplyCuda","1024","1024"
"1000000","0.042","1.644725","multiplyCuda","2048","32"
"1000000","0.039","1.644725","multiplyCuda","2048","64"
"1000000","0.037","1.644725","multiplyCuda","2048","128"
"1000000","0.036","1.644725","multiplyCuda","2048","256"
"1000000","0.037","1.644725","multiplyCuda","2048","512"
"1000000","0.037","1.644725","multiplyCuda","2048","1024"
"1000000","0.041","1.644725","multiplyCuda","4096","32"
"1000000","0.038","1.644725","multiplyCuda","4096","64"
"1000000","0.037","1.644725","multiplyCuda","4096","128"
"1000000","0.037","1.644725","multiplyCuda","4096","256"
"1000000","0.037","1.644725","multiplyCuda","4096","512"
"1000000","0.037","1.644725","multiplyCuda","4096","1024"
"1000000","0.042","1.644725","multiplyCuda","8192","32"
"1000000","0.04","1.644725","multiplyCuda","8192","64"
"1000000","0.038","1.644725","multiplyCuda","8192","128"
"1000000","0.037","1.644725","multiplyCuda","8192","256"
"1000000","0.037","1.644725","multiplyCuda","8192","512"
"1000000","0.039","1.644725","multiplyCuda","8192","1024"
"1000000","0.053","1.644725","multiplyCuda","16384","32"
"1000000","0.05","1.644725","multiplyCuda","16384","64"
"1000000","0.037","1.644725","multiplyCuda","16384","128"
"1000000","0.037","1.644725","multiplyCuda","16384","256"
"1000000","0.037","1.644725","multiplyCuda","16384","512"
"1000000","0.038","1.644725","multiplyCuda","16384","1024"
"1000000","0.077","1.644725","multiplyCuda","32768","32"
"1000000","0.05","1.644725","multiplyCuda","32768","64"
"1000000","0.037","1.644725","multiplyCuda","32768","128"
"1000000","0.037","1.644725","multiplyCuda","32768","256"
"1000000","0.036","1.644725","multiplyCuda","32768","512"
"1000000","0.038","1.644725","multiplyCuda","32768","1024"
"10000000","2.138","1.644725","multiplySeq","0","0"
"10000000","0.243","1.644725","multiplyCuda","1024","32"
"10000000","0.179","1.644725","multiplyCuda","1024","64"
"10000000","0.17","1.644725","multiplyCuda","1024","128"
"10000000","0.169","1.644725","multiplyCuda","1024","256"
"10000000","0.172","1.644725","multiplyCuda","1024","512"
"10000000","0.168","1.644725","multiplyCuda","1024","1024"
"10000000","0.181","1.644725","multiplyCuda","2048","32"
"10000000","0.171","1.644725","multiplyCuda","2048","64"
"10000000","0.17","1.644725","multiplyCuda","2048","128"
"10000000","0.17","1.644725","multiplyCuda","2048","256"
"10000000","0.168","1.644725","multiplyCuda","2048","512"
"10000000","0.162","1.644725","multiplyCuda","2048","1024"
"10000000","0.186","1.644725","multiplyCuda","4096","32"
"10000000","0.169","1.644725","multiplyCuda","4096","64"
"10000000","0.172","1.644725","multiplyCuda","4096","128"
"10000000","0.167","1.644725","multiplyCuda","4096","256"
"10000000","0.168","1.644725","multiplyCuda","4096","512"
"10000000","0.167","1.644725","multiplyCuda","4096","1024"
"10000000","0.189","1.644725","multiplyCuda","8192","32"
"10000000","0.171","1.644725","multiplyCuda","8192","64"
"10000000","0.169","1.644725","multiplyCuda","8192","128"
"10000000","0.166","1.644725","multiplyCuda","8192","256"
"10000000","0.167","1.644725","multiplyCuda","8192","512"
"10000000","0.168","1.644725","multiplyCuda","8192","1024"
"10000000","0.181","1.644725","multiplyCuda","16384","32"
"10000000","0.168","1.644725","multiplyCuda","16384","64"
"10000000","0.167","1.644725","multiplyCuda","16384","128"
"10000000","0.166","1.644725","multiplyCuda","16384","256"
"10000000","0.167","1.644725","multiplyCuda","16384","512"
"10000000","0.168","1.644725","multiplyCuda","16384","1024"
"10000000","0.184","1.644725","multiplyCuda","32768","32"
"10000000","0.168","1.644725","multiplyCuda","32768","64"
"10000000","0.167","1.644725","multiplyCuda","32768","128"
"10000000","0.166","1.644725","multiplyCuda","32768","256"
"10000000","0.166","1.644725","multiplyCuda","32768","512"
"10000000","0.169","1.644725","multiplyCuda","32768","1024"
"100000000","22.036","1.644725","multiplySeq","0","0"
"100000000","2.178","1.644725","multiplyCuda","1024","32"
"100000000","1.658","1.644725","multiplyCuda","1024","64"
"100000000","1.526","1.644725","multiplyCuda","1024","128"
"100000000","1.515","1.644725","multiplyCuda","1024","256"
"100000000","1.525","1.644725","multiplyCuda","1024","512"
"100000000","1.49","1.644725","multiplyCuda","1024","1024"
"100000000","1.636","1.644725","multiplyCuda","2048","32"
"100000000","1.53","1.644725","multiplyCuda","2048","64"
"100000000","1.518","1.644725","multiplyCuda","2048","128"
"100000000","1.527","1.644725","multiplyCuda","2048","256"
"100000000","1.489","1.644725","multiplyCuda","2048","512"
