ID,Time,API Call ID,Function Name,Demangled Name,Device Name,SOL SM [%],SOL Memory [%]
119,2021-Jul-06 22:47:40,1546,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.38,90.51
120,2021-Jul-06 22:48:04,1558,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.24,74.79
121,2021-Jul-06 22:48:28,1570,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.59,79.66
122,2021-Jul-06 22:48:52,1582,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.68,80.94
123,2021-Jul-06 22:49:15,1594,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.23,88.80
124,2021-Jul-06 22:49:38,1606,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.35,90.35
125,2021-Jul-06 22:50:01,1618,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.39,90.54
126,2021-Jul-06 22:50:24,1630,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.29,75.43
127,2021-Jul-06 22:50:47,1642,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.64,80.46
128,2021-Jul-06 22:51:09,1654,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.23,88.76
129,2021-Jul-06 22:51:32,1666,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.35,90.39
130,2021-Jul-06 22:51:58,1678,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.38,90.76
131,2021-Jul-06 22:52:23,1690,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.43,91.13
132,2021-Jul-06 22:52:47,1702,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.68,81.01
133,2021-Jul-06 22:53:10,1714,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.18,87.99
134,2021-Jul-06 22:53:34,1726,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.32,89.98
135,2021-Jul-06 22:53:56,1738,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.36,90.41
136,2021-Jul-06 22:54:20,1750,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.42,91.05
137,2021-Jul-06 22:54:43,1762,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.53,92.13
138,2021-Jul-06 22:55:07,1774,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,5.89,83.94
139,2021-Jul-06 22:55:30,1786,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.29,89.61
140,2021-Jul-06 22:55:54,1798,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.37,90.20
141,2021-Jul-06 22:56:17,1810,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.43,91.16
142,2021-Jul-06 22:56:41,1822,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.53,92.11
143,2021-Jul-06 22:57:04,1834,multiplyKernel,"void multiplyKernel<float>(float*, float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.45,89.89
